# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.216667,0.262134,0.000000,-0.000000,-1.052549,0.744407,-0.149319,0.001504,0.001468,0.147210,0.000000,-0.000000,2.182628,-2.927918,1.407011,-0.294317,0.022918,0.415880,0.000000,0.000000,0.212806,-0.232488,0.104668,-0.021771,0.001727,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.216667,0.400853,0.991127,-0.609739,-0.423054,-0.038251,0.215825,-0.066458,0.005782,-0.494832,0.703577,0.684229,0.056044,-0.520461,0.157825,-0.002435,-0.002177,0.690580,0.089756,-0.015929,0.030605,-0.019218,0.004929,-0.000398,-0.000013,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.216667,0.415510,1.894462,-0.140646,-1.154583,0.170239,0.190396,-0.064058,0.005662,-1.110605,0.126532,1.787948,-0.088920,-0.697237,0.253872,-0.025946,0.000105,0.986949,0.096546,-0.003970,-0.019048,0.031685,-0.018207,0.004519,-0.000412,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.216667,-0.364591,1.277812,0.732365,-0.688316,-0.311902,0.280427,-0.060977,0.004274,-0.749148,-0.854473,1.232669,0.330397,-0.312358,-0.040213,0.039949,-0.004890,1.284163,0.098121,0.000237,-0.029330,0.039237,-0.020689,0.004892,-0.000432,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.216667,-0.724308,0.356437,1.044460,-0.261657,-0.381888,0.188805,-0.029341,0.001441,-0.206187,-1.149950,0.437539,0.420849,0.055417,-0.195131,0.058757,-0.005124,1.582095,0.097193,-0.000167,-0.027147,0.039359,-0.022479,0.005785,-0.000559,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.216667,-0.712104,-0.272835,0.952897,0.228589,-1.078878,0.708616,-0.186396,0.017603,0.192963,-0.673405,0.294821,0.855157,-1.098681,0.523473,-0.112883,0.009225,1.879622,0.081427,-0.050772,-0.089451,0.132141,-0.066414,0.014799,-0.001238,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.420000,0.749280,0.000000,-0.000000,0.011544,-0.019234,0.011706,-0.003054,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.901100,-0.000000,-0.000000,-0.032540,0.067111,-0.051002,0.016846,-0.002041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750456,0.001294,-0.005407,-0.011216,0.036105,-0.029952,0.009798,-0.001118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.899955,0.005840,0.002368,-0.045142,0.047015,-0.004320,-0.008633,0.001924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.739781,-0.004240,0.028704,0.019218,-0.027598,0.001408,0.004111,-0.000855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.743279,-0.445469,-0.373452,0.019526,-0.019577,0.130472,-0.063248,0.008625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750253,-0.006162,0.022057,-0.027002,0.012291,-0.000384,-0.001115,0.000211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400926,-0.016471,0.065589,-0.103568,0.077997,-0.029265,0.005085,-0.000298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750221,-0.001161,-0.001957,0.007013,-0.005674,0.001643,-0.000074,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399771,-0.002872,0.002611,0.020634,-0.040264,0.028332,-0.008766,0.001008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
